index,position_index,billboard_named_position,billboard_image_at_position
0,1,billboard_image_1,resources/billboards/commercial_3_coffee_neu.bmp
1,2,billboard_image_2,resources/billboards/health_14_healthy_diet_emo.bmp
2,3,billboard_image_3,resources/billboards/commercial_4_education_donation_neu.bmp
3,4,billboard_image_4,resources/billboards/commercial_2_burger_neu.bmp
4,5,billboard_image_5,resources/billboards/health_12_marijuana_neu.bmp
5,6,billboard_image_6,resources/billboards/commercial_6_hotel_emo.bmp
6,7,billboard_image_7,resources/billboards/health_2_buckle_up_emo.bmp
7,8,billboard_image_8,resources/billboards/health_11_vaping_emo.bmp
8,9,billboard_image_9,resources/billboards/health_3_diabetes_emo.bmp
9,10,billboard_image_10,resources/billboards/health_10_vaccination_emo.bmp
10,11,billboard_image_11,resources/billboards/commercial_5_furniture_neu.bmp
11,12,billboard_image_12,resources/billboards/commercial_1_brunch_emo.bmp
12,13,billboard_image_13,resources/billboards/health_8_sun_protection_neu.bmp
13,14,billboard_image_14,resources/billboards/health_9_wash_hands_neu.bmp
14,15,billboard_image_15,resources/billboards/health_13_tech_addiction_neu.bmp
15,16,billboard_image_16,resources/billboards/health_6_drugged_driving_emo.bmp
16,17,billboard_image_17,resources/billboards/health_5_text_driving_neu.bmp
17,18,billboard_image_18,resources/billboards/health_1_binge_drinking_emo.bmp
18,19,billboard_image_19,resources/billboards/health_7_smoking_emo.bmp
19,20,billboard_image_20,resources/billboards/health_4_HIV_neu.bmp
