,position_index,billboard_image_at_position_text,fix_bill,recall
0,1,smoking,1.0,0.0
1,2,drugged_driving,2.0,1.0
2,3,healthy_diet,3.0,0.0
3,4,marijuana,4.0,0.0
4,5,furniture,5.0,1.0
5,6,wash_hands,0.0,0.0
6,7,text_driving,7.0,0.0
7,8,burger,8.0,0.0
8,9,tech_addiction,9.0,0.0
9,10,vaccination,10.0,0.0
10,11,sun_protection,11.0,0.0
11,12,vaping,12.0,0.0
12,13,hotel,13.0,1.0
13,14,coffee,14.0,0.0
14,15,binge_drinking,15.0,0.0
15,17,buckle_up,17.0,1.0
16,18,diabetes,0.0,0.0
17,19,education_donation,19.0,0.0
18,20,brunch,20.0,0.0
