subject,condition,fixated_rate_high_emo,fixated_rate_low_emo,billboard#_duration_high_emo,billboard#_duration_low_emo,recall_rate_high_emo,recall_rate_low_emo,recognition_rate_high_emo,recognition_rate_low_emo
sub001,count trash,0.0,0.3,0.0,3.4500000000000206,0.0,0.0,0.0,0.0
sub002,count trash,1.0,1.0,13.459999999999944,16.26999999999997,0.2,0.3,0.8,0.4
sub003,count trash,0.3,0.4,2.460000000000001,8.73,0.0,0.2,0.0,0.3
sub004,count trash,0.9,0.9,14.770000000000053,10.259999999999952,0.2,0.4,0.8,0.8
sub005,count trash,1.0,1.0,30.680000000000025,33.93000000000006,0.2,0.2,0.8,0.8
sub006,count trash,0.9,1.0,28.01000000000002,24.04999999999996,0.1,0.2,0.5,0.7
sub007,count trash,1.0,0.9,28.83,24.360000000000017,0.3,0.2,0.7,0.5
sub008,count trash,0.6,0.2,11.849999999999994,3.2300000000000324,0.2,0.0,0.4,0.2
sub009,count trash,0.9,0.7,12.419999999999952,9.190000000000028,0.1,0.4,0.6,0.7
sub010,count trash,0.1,0.2,0.5799999999999841,0.7899999999999974,0.0,0.0,0.5,0.2
sub011,count trash,0.8,0.7,13.650000000000077,12.730000000000011,0.2,0.0,0.1,0.4
sub012,count trash,1.0,1.0,26.410000000000007,32.79000000000006,0.4,0.6,1.0,1.0
sub013,free viewing,0.8,1.0,20.470000000000038,24.959999999999933,0.2,0.1,0.3,0.7
sub014,free viewing,0.9,0.9,26.520000000000024,26.91999999999997,0.2,0.1,0.6,0.6
sub015,free viewing,0.9,0.9,28.25999999999994,19.790000000000006,0.1,0.3,0.3,0.8
sub016,free viewing,1.0,1.0,39.51000000000015,47.940000000000055,0.8,0.1,1.0,0.9
sub017,free viewing,1.0,1.0,26.82000000000002,16.499999999999993,0.2,0.5,1.0,1.0
sub018,free viewing,1.0,0.9,30.59999999999992,25.069999999999993,0.4,0.3,1.0,0.5
sub019,free viewing,1.0,1.0,33.72000000000003,34.160000000000004,0.4,0.4,0.9,1.0
sub020,free viewing,1.0,1.0,31.779999999999887,41.84000000000002,0.3,0.2,0.6,0.6
sub021,free viewing,1.0,0.9,39.309999999999995,27.430000000000028,0.2,0.3,0.7,0.8
sub022,free viewing,1.0,1.0,27.92000000000001,26.34999999999992,0.5,0.1,0.8,0.6
sub023,free viewing,0.9,0.9,13.929999999999968,15.169999999999993,0.3,0.2,0.9,0.6
sub024,free viewing,0.9,0.9,24.530000000000065,17.270000000000046,0.3,0.2,1.0,0.7
sub025,free viewing,0.9,1.0,45.529999999999944,34.969999999999885,0.4,0.4,0.6,0.6
sub026,free viewing,1.0,0.9,51.319999999999894,40.7399999999999,0.3,0.4,0.7,0.7
sub027,free viewing,0.9,0.8,17.310000000000016,11.160000000000023,0.2,0.2,0.6,0.2
sub028,free viewing,0.9,1.0,24.190000000000012,26.619999999999923,0.4,0.2,0.6,0.7
sub029,free viewing,0.1,0.2,0.8799999999999955,1.370000000000016,0.2,0.2,1.0,0.6
sub030,free viewing,0.8,0.7,12.49999999999995,6.869999999999969,0.1,0.2,0.6,0.7
sub031,free viewing,1.0,1.0,40.75000000000011,37.410000000000025,0.6,0.2,0.9,0.8
sub032,free viewing,1.0,1.0,48.04999999999998,47.26000000000001,0.4,0.1,1.0,1.0
sub033,count trash,0.3,0.6,2.0999999999999943,2.940000000000011,0.1,0.4,0.8,0.5
sub034,count trash,0.3,0.4,4.939999999999991,2.510000000000012,0.1,0.0,0.1,0.0
sub035,count trash,0.4,0.5,9.359999999999985,6.360000000000021,0.1,0.2,0.3,0.2
sub036,count trash,0.7,0.7,12.210000000000033,16.02999999999993,0.3,0.1,0.9,0.3
sub037,count trash,0.2,0.1,2.869999999999976,0.8499999999999943,0.1,0.1,0.4,0.2
sub038,count trash,0.2,0.1,3.6399999999999975,2.990000000000002,0.0,0.1,0.2,0.2
sub039,count trash,0.3,0.0,2.2300000000000466,0.0,0.2,0.0,0.2,0.0
sub040,count trash,0.6,0.6,11.420000000000028,7.140000000000046,0.1,0.3,0.7,0.7
